model_name,split_name,spec_class,n_rows,n_host,n_field,effective_k,roc_auc,pr_auc,brier,precision_at_k
baseline_legacy_gaussian,test,F,1024,124,900,50,0.8414964157706093,0.3402849668674136,0.13705919797598087,0.3
baseline_legacy_gaussian,test,G,1450,550,900,50,0.8222202020202021,0.7018251554290168,0.18991389872204117,0.8
baseline_legacy_gaussian,test,K,1178,278,900,50,0.9272741806554756,0.790200499650739,0.11692419516109896,0.86
baseline_legacy_gaussian,test,M,967,67,900,50,0.8027860696517414,0.24412760896575775,0.1361047553813517,0.34
baseline_mlp_small,test,F,1024,124,900,50,0.7764068100358423,0.2971672117443755,0.10108413739525315,0.34
baseline_mlp_small,test,G,1450,550,900,50,0.894840404040404,0.7739015186919899,0.12302945577740793,0.8
baseline_mlp_small,test,K,1178,278,900,50,0.9553956834532373,0.8361756407907643,0.07211679746007471,0.92
baseline_mlp_small,test,M,967,67,900,50,0.8863184079601989,0.4201012661295039,0.05118313903296624,0.34
baseline_random_forest,test,F,1024,124,900,50,0.8871236559139785,0.45463036446757926,0.09939589774630293,0.54
baseline_random_forest,test,G,1450,550,900,50,0.8961575757575757,0.7747143337193056,0.12217166283524905,0.78
baseline_random_forest,test,K,1178,278,900,50,0.9551219024780176,0.8394291943017314,0.0755377583471668,0.88
baseline_random_forest,test,M,967,67,900,50,0.9170646766169155,0.5753528824786034,0.04981277348551832,0.58
main_contrastive_v1,test,F,1024,124,900,50,0.8635573476702509,0.3931078749185784,0.2026143041864474,0.34
main_contrastive_v1,test,G,1450,550,900,50,0.8490484848484848,0.6964625117392207,0.15553822620250998,0.7
main_contrastive_v1,test,K,1178,278,900,50,0.9338089528377299,0.7878946227395258,0.10547221141521199,0.84
main_contrastive_v1,test,M,967,67,900,50,0.811525704809287,0.33943200085578684,0.16087900997077717,0.38
baseline_legacy_gaussian,train,F,2388,288,2100,50,0.8197205687830688,0.34238420380238227,0.13437402414193791,0.4
baseline_legacy_gaussian,train,G,3381,1281,2100,50,0.8285212445633992,0.693902604076674,0.18991065811386054,0.72
baseline_legacy_gaussian,train,K,2749,649,2100,50,0.938389463643701,0.8114606413053973,0.11556698722659549,0.88
baseline_legacy_gaussian,train,M,2257,157,2100,50,0.7698028510767363,0.20972362951491352,0.1383557200407172,0.28
baseline_mlp_small,train,F,2388,288,2100,50,0.7492724867724868,0.31761190542999285,0.10150243475740682,0.56
baseline_mlp_small,train,G,3381,1281,2100,50,0.8993572729638305,0.7834871611829506,0.11816871837781283,0.82
baseline_mlp_small,train,K,2749,649,2100,50,0.9606915400983197,0.8701836163825714,0.0666346977108647,0.98
baseline_mlp_small,train,M,2257,157,2100,50,0.9151986654534425,0.5480242461111093,0.045200379624479835,0.88
baseline_random_forest,train,F,2388,288,2100,50,0.9865376984126984,0.9153964827815347,0.05514708877263612,1.0
baseline_random_forest,train,G,3381,1281,2100,50,1.0,1.0,0.01631552466397187,1.0
baseline_random_forest,train,K,2749,649,2100,50,0.990396213955536,0.9708691502445506,0.04255166123184305,1.0
baseline_random_forest,train,M,2257,157,2100,50,0.9960782529572338,0.9420833504745658,0.025587381240911856,0.98
main_contrastive_v1,train,F,2388,288,2100,50,0.8439401455026455,0.3598598973210545,0.1917199878384183,0.3
main_contrastive_v1,train,G,3381,1281,2100,50,0.8492015166722426,0.6938528225809011,0.1531852452751711,0.7
main_contrastive_v1,train,K,2749,649,2100,50,0.9497725438403405,0.8466408514726402,0.09889360185937553,0.96
main_contrastive_v1,train,M,2257,157,2100,50,0.8652532605398847,0.4508700325131699,0.1472289354293719,0.8
