source_id,predicted_spec_class,predicted_evolution_stage,router_label,gauss_label,model_score,host_posterior,host_log_lr,similarity,rf_positive_proba,final_score,priority_tier,reason_code,router_similarity,router_log_posterior,posterior_margin,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot
1970498667200180352,K,dwarf,K_dwarf,,0.9705605188048452,,,,0.9705605188048452,0.9220324928646029,HIGH,HOST_SCORING,0.5733203361142838,4.853505695565715,6.884986929401519,321.50543,43.241745,4696.5137,4.5882,0.7584
489552059008119040,K,dwarf,K_dwarf,,0.9620663473051377,,,,0.9620663473051377,0.9139630299398808,HIGH,HOST_SCORING,0.38995527856673595,3.9067731588779275,1.9076405476383087,63.837017,66.58886,4178.802,4.6508,0.6525
470543495831169536,K,dwarf,K_dwarf,,0.9601484291068257,,,,0.9601484291068257,0.9121410076514844,HIGH,HOST_SCORING,0.5783443737421373,4.864667386201024,9.070451708584478,62.727615,59.67856,4551.572,4.6034,0.7227
1308974472679778304,K,dwarf,K_dwarf,,0.9527736849594121,,,,0.9527736849594121,0.9051350007114414,HIGH,HOST_SCORING,0.5447960514185256,4.7813702582362065,8.532432365205118,257.45074,29.579071,4499.551,4.6035,0.7235
1816493440755009536,K,dwarf,K_dwarf,,0.9901799229068184,,,,0.9901799229068184,0.9030440896910183,HIGH,HOST_SCORING,0.5077813407406624,4.6606202878437575,6.818049901551598,304.5314,19.944084,4705.5977,4.5458,0.8139
1838250709974693376,K,dwarf,K_dwarf,,0.948486877369703,,,,0.948486877369703,0.9010625335012179,HIGH,HOST_SCORING,0.5472998035279768,4.7883512375860295,8.525371469599705,316.69543,21.943539,4499.931,4.6017,0.7213
2068587783135629440,K,dwarf,K_dwarf,,0.9436538202588798,,,,0.9436538202588798,0.8964711292459357,HIGH,HOST_SCORING,0.5928608009546957,4.894637992635291,8.498228733800428,304.47592,41.54007,4616.6216,4.5914,0.7345
1863187534912698624,K,dwarf,K_dwarf,,0.9365812354475509,,,,0.9365812354475509,0.8897521736751733,HIGH,HOST_SCORING,0.5843525324624693,4.877470742473834,7.941954888025453,309.68616,33.064037,4644.7783,4.5849,0.7461
1817487777212366976,K,dwarf,K_dwarf,,0.9358030607966515,,,,0.9358030607966515,0.889012907756819,HIGH,HOST_SCORING,0.4118519270982692,4.1107680027981,2.6871264061851554,308.75818,20.27836,4223.7812,4.6573,0.6517
116819060300509568,K,dwarf,K_dwarf,,0.9333622705395223,,,,0.9333622705395223,0.8866941570125461,HIGH,HOST_SCORING,0.559193586323109,4.81974141672316,8.790823331395831,44.260773,28.161459,4577.3135,4.5874,0.7485
1865964622110670976,K,dwarf,K_dwarf,,0.970882645496129,,,,0.970882645496129,0.8854449726924696,HIGH,HOST_SCORING,0.5477191178009885,4.78950728186701,8.207476175158174,313.19012,33.00125,4635.3813,4.5629,0.7717
422188486273959552,K,dwarf,K_dwarf,,0.9288317714050035,,,,0.9288317714050035,0.8823901828347532,HIGH,HOST_SCORING,0.46012917046043306,4.44212186479046,2.6427256495889124,5.232885,58.497204,4936.834,4.5724,0.8011
573435072399868416,K,dwarf,K_dwarf,,0.9759649021330037,,,,0.9759649021330037,0.8808083241750357,HIGH,HOST_SCORING,0.5149791513295523,4.6869232780528645,7.279067874039331,5.3178926,83.825966,4687.2227,4.5326,0.8026
59318278657519232,K,dwarf,K_dwarf,,0.9750188834020165,,,,0.9750188834020165,0.8799545422703198,HIGH,HOST_SCORING,0.5628674768572554,4.82887447649585,5.909552815889027,50.22381,19.671267,4754.8115,4.5633,0.7496
2009812976760907136,K,dwarf,K_dwarf,,0.9256715091759722,,,,0.9256715091759722,0.8793879337171735,HIGH,HOST_SCORING,0.4886701086039359,4.582996148669581,6.267141224200124,344.80133,56.58731,4737.846,4.5259,0.831
1795675321939484544,K,dwarf,K_dwarf,,0.9251983400746644,,,,0.9251983400746644,0.8789384230709312,HIGH,HOST_SCORING,0.4876612085948882,4.578557229429434,7.903079684743691,330.35257,24.789967,4614.083,4.5362,0.8233
2054919307419256576,K,dwarf,K_dwarf,,0.9736894935945684,,,,0.9736894935945684,0.8787547679690978,HIGH,HOST_SCORING,0.5622982831291601,4.82747618823343,5.422405976635542,303.3318,32.40356,4779.551,4.5707,0.7451
2062037167754480640,K,dwarf,K_dwarf,,0.9632579408863041,,,,0.9632579408863041,0.8784912420883093,HIGH,HOST_SCORING,0.5658290269017427,4.83605286299094,6.688293066330386,301.91074,39.514996,4708.9756,4.5773,0.7633
54884979056532608,K,dwarf,K_dwarf,,0.9723485780812059,,,,0.9723485780812059,0.8775445917182882,HIGH,HOST_SCORING,0.4984962206416957,4.624390095045134,4.243258648803096,52.64254,17.457626,4848.532,4.543,0.7867
311192993598719744,K,dwarf,K_dwarf,,0.9207831713752719,,,,0.9207831713752719,0.8747440128065083,HIGH,HOST_SCORING,0.5841566111833063,4.877062326449957,8.778439218362944,13.801809,28.946255,4600.541,4.5999,0.737
1953422461338390016,K,dwarf,K_dwarf,,0.9204662126963847,,,,0.9204662126963847,0.8744429020615655,HIGH,HOST_SCORING,0.4752194096731749,4.520712081563051,6.475732004700292,327.52817,39.854813,4403.6367,4.584,0.736
379724282049084928,K,dwarf,K_dwarf,,0.9162841794625561,,,,0.9162841794625561,0.8704699704894283,HIGH,HOST_SCORING,0.38596049192170856,3.86489848215852,1.8611607008800473,3.5754876,38.310886,4174.3057,4.645,0.6604
1970541582515682304,K,dwarf,K_dwarf,,0.9635249990536338,,,,0.9635249990536338,0.8695813116459044,HIGH,HOST_SCORING,0.5023624017390707,4.639802498774472,7.722399356080089,321.02686,43.19419,4665.8013,4.526,0.8138
84191877377264384,K,dwarf,K_dwarf,,0.9144538899791713,,,,0.9144538899791713,0.8687311954802127,HIGH,HOST_SCORING,0.5799644478043933,4.86817714613858,9.088759134098831,42.791378,19.263136,4541.057,4.6045,0.716
1936664220501985536,K,dwarf,K_dwarf,,0.9619557104500197,,,,0.9619557104500197,0.8681650286811428,HIGH,HOST_SCORING,0.5223597169178786,4.712387404382804,7.516466418638821,349.69952,42.96954,4672.7144,4.5432,0.7972
472736093813153408,K,dwarf,K_dwarf,,0.9572664614750471,,,,0.9572664614750471,0.86393298148123,HIGH,HOST_SCORING,0.6214173363508687,4.944864314634437,7.377393976350671,68.143394,62.639107,4674.8906,4.5876,0.7157
975039047427822208,K,dwarf,K_dwarf,,0.9571889263154872,,,,0.9571889263154872,0.8638630059997271,HIGH,HOST_SCORING,0.5638760774032328,4.831337377117398,8.507915179111363,114.08237,45.301956,4601.7837,4.5705,0.7495
231638173373335168,K,dwarf,K_dwarf,,0.955356713798452,,,,0.955356713798452,0.8622094342031029,HIGH,HOST_SCORING,0.606861923172572,4.92060534301006,8.63960212081073,60.182003,43.750305,4612.209,4.5873,0.7186
768622919181828096,K,dwarf,K_dwarf,,0.9069813492619744,,,,0.9069813492619744,0.8616322817988756,HIGH,HOST_SCORING,0.6143524665735122,4.933419020668962,9.004698572823967,179.56462,41.80099,4586.82,4.6185,0.7113
1942489673624988288,K,dwarf,K_dwarf,,0.9546289888160022,,,,0.9546289888160022,0.861552662406442,HIGH,HOST_SCORING,0.5701572043810668,4.846257261506711,7.446745980423588,347.62326,47.86581,4674.3745,4.5645,0.7548
546770884634203136,K,dwarf,K_dwarf,,0.9535452334046037,,,,0.9535452334046037,0.8605745731476547,HIGH,HOST_SCORING,0.5015185544092211,4.636479046925906,4.208282752474606,38.72766,73.323944,4850.6304,4.5451,0.7802
1554416941520632704,K,dwarf,K_dwarf,,0.9053503204218238,,,,0.9053503204218238,0.8600828044007326,HIGH,HOST_SCORING,0.5998069706604466,4.907861615156765,9.374452652721416,197.89276,47.635273,4565.4883,4.6208,0.7122
2062347882853027072,K,dwarf,K_dwarf,,0.9522455562063223,,,,0.9522455562063223,0.8594016144762058,HIGH,HOST_SCORING,0.5324235350968378,4.744820447151824,7.991331675067659,304.62573,40.69975,4651.561,4.5408,0.7819
384653873713291904,K,dwarf,K_dwarf,,0.9043590091911962,,,,0.9043590091911962,0.8591410587316363,HIGH,HOST_SCORING,0.375906419430458,3.7522488408956183,1.4305044249004126,2.4962976,42.918186,4149.158,4.6554,0.6531
431205134456722304,K,dwarf,K_dwarf,,0.9040015377662924,,,,0.9040015377662924,0.8588014608779778,HIGH,HOST_SCORING,0.5287244807725329,4.733194283027741,8.764244323520758,5.77787,64.571754,4505.968,4.5868,0.743
2015629187112117120,K,dwarf,K_dwarf,,0.9503987326601135,,,,0.9503987326601135,0.8577348562257524,HIGH,HOST_SCORING,0.5091181890322346,4.665619575868297,4.72597303017848,354.04733,62.252728,4821.0825,4.5439,0.7862
2000435310808518400,K,dwarf,K_dwarf,,0.9017930191267418,,,,0.9017930191267418,0.8567033681704047,HIGH,HOST_SCORING,0.4906290320837505,4.591512135202796,6.408268373526505,338.55374,51.734646,4404.4634,4.6055,0.7146
209682025675364608,K,dwarf,K_dwarf,,0.901554708309924,,,,0.901554708309924,0.8564769728944278,HIGH,HOST_SCORING,0.5720533081048673,4.850623106681828,9.005829284794363,86.257095,46.8747,4557.708,4.5997,0.7305
1041947765953033728,K,dwarf,K_dwarf,,0.9000926825648595,,,,0.9000926825648595,0.8550880484366165,HIGH,HOST_SCORING,0.6056934174181792,4.918540877603263,9.410223372475507,128.45901,61.46143,4553.524,4.6228,0.7027
295207606359183744,K,dwarf,K_dwarf,,0.9459756113420968,,,,0.9459756113420968,0.8537429892362423,HIGH,HOST_SCORING,0.5430146864313404,4.776320837576,7.528802308676122,23.012402,25.895786,4673.333,4.547,0.7752
703598832308190208,K,dwarf,K_dwarf,,0.9359488731113825,,,,0.9359488731113825,0.8535853722775808,HIGH,HOST_SCORING,0.5406420204596175,4.769486660065928,8.570600978822862,131.27493,28.058811,4501.226,4.5901,0.7278
393684609391657088,K,dwarf,K_dwarf,,0.8976469521227262,,,,0.8976469521227262,0.8527646045165899,HIGH,HOST_SCORING,0.6271532268367307,4.953722470794709,9.294796247779143,3.074015,49.5308,4571.312,4.629,0.6962
504756415039991424,K,dwarf,K_dwarf,,0.8972188318316359,,,,0.8972188318316359,0.852357890240054,HIGH,HOST_SCORING,0.4892381459883516,4.585479469825001,6.371552864251846,27.930788,55.58543,4402.6816,4.6046,0.715
1868965983920943104,K,dwarf,K_dwarf,,0.9432329704496655,,,,0.9432329704496655,0.851267755830823,HIGH,HOST_SCORING,0.5467229198321171,4.786754671422845,8.192347075422585,317.8953,38.203907,4617.2705,4.5512,0.7629
941713258012580224,K,dwarf,K_dwarf,,0.8955935621044353,,,,0.8955935621044353,0.8508138839992135,HIGH,HOST_SCORING,0.4941346233081519,4.606419769532735,6.741081390504489,98.854866,34.77699,4418.796,4.5981,0.7223
986820864275436928,K,dwarf,K_dwarf,,0.895380407664716,,,,0.895380407664716,0.8506113872814802,HIGH,HOST_SCORING,0.39826641421545617,3.9890592377260377,2.2704078884898795,109.045265,53.727707,4199.7095,4.6331,0.6612
294506839495246336,K,dwarf,K_dwarf,,0.9424740622085076,,,,0.9424740622085076,0.850582841143178,HIGH,HOST_SCORING,0.576826343089128,4.8613394614071375,4.945996725960406,19.435362,25.270956,4804.5957,4.5866,0.7102
434087156286361216,K,dwarf,K_dwarf,,0.9312377410181054,,,,0.9312377410181054,0.849288819808512,HIGH,HOST_SCORING,0.6206206774764019,4.943603718994224,8.681070237707987,45.57352,45.97036,4598.998,4.6345,0.7082
333517890006992000,K,dwarf,K_dwarf,,0.925382503739765,,,,0.925382503739765,0.8439488434106656,HIGH,HOST_SCORING,0.58063283510671,4.869612683141533,9.195493598942692,40.015373,37.33729,4543.665,4.6106,0.717
1388511013528343040,K,dwarf,K_dwarf,,0.9789921334409631,,,,0.9789921334409631,0.8370382740920235,HIGH,HOST_SCORING,0.49607185352079614,4.61447914654385,6.1990277577456965,229.97585,39.28549,4741.2783,4.5298,0.8226
